ä®íËïÚçsÅFì`ï[ãÊêÿ,G/L Account,édñÛì˙,ê\êøì˙,édñÛÉfÅ[É^ê∂ê¨ì˙,ì`ï[No.,éÿï˚ÅFä®íËâ»ñ⁄ÅFâÔåvòAåg?ñ⁄,éÿï˚ÅFï‚?â»ñ⁄ÅFâÔåvòAåg?ñ⁄,,,ä∑éZëOäz,íPà ,éÿï˚ÅF?íS?ñÂÅFâÔåvòAåg?ñ⁄,ê\êøé“CD/éxï•êÊCD,éxï•êÊCD,ìEóv,Ét?Å[ÇQ(ñæç◊),Receipt/Invoice Note(ñæç◊),Receipt/Invoice No.(ñæç◊),éÿï˚ÅF?íS?ñÂÉRÅ[Éh,îıçl
,Vendor,édñÛì˙,ê\êøì˙,édñÛÉfÅ[É^ê∂ê¨ì˙,ì`ï[No.,,,ë›ï˚ÅFä®íËâ»ñ⁄ÅFâÔåvòAåg?ñ⁄,ë›ï˚ÅFï‚?â»ñ⁄ÅFâÔåvòAåg?ñ⁄,ä∑éZëOäz,íPà ,éÿï˚ÅF?íS?ñÂÅFâÔåvòAåg?ñ⁄,ê\êøé“CD/éxï•êÊCD,éxï•êÊCD,ìEóv,Ét?Å[ÇQ(ñæç◊),Receipt/Invoice Note(ñæç◊),Receipt/Invoice No.(ñæç◊),éÿï˚ÅF?íS?ñÂÉRÅ[Éh,îıçl
*,G/L Account,2025/4/12,2025/5/23,2025/6/23,OBA-0000026,72600-10,72600-10,,,6846,NTD,VCA.1342G,10126,,"è]ã∆àıóßë÷ OBA-0000026 Johan Veenstra  Per diem: Taiwan (NTD 1,630 per day)",,"Flight to Taipei for Sales Training and Strategy Sessions
Flight departure DFW April 13th 
Layover SFO
Departure back to DFW April 19th 
7 days * 978 NTD =  NTD 6,846",,VCA.1342G,Hotel Taiwan for Sales Training & Strategy session April 15th-18th
,Vendor,2025/4/12,2025/5/23,2025/6/23,OBA-0000026,,,32200-10,32200-10,6846,NTD,VCA.1342G,10126,,"è]ã∆àıóßë÷ OBA-0000026 Johan Veenstra  Per diem: Taiwan (NTD 1,630 per day)",,"Flight to Taipei for Sales Training and Strategy Sessions
Flight departure DFW April 13th 
Layover SFO
Departure back to DFW April 19th 
7 days * 978 NTD =  NTD 6,846",,VCA.1342G,Hotel Taiwan for Sales Training & Strategy session April 15th-18th
,G/L Account,2025/4/12,2025/5/23,2025/6/23,OBA-0000026,72600-10,72600-10,,,85.04,R-USD,VCA.1342G,10126,,è]ã∆àıóßë÷ OBA-0000026 Johan Veenstra  Overseas Travel (Other Travel Costs),,Parking at DFW airport whilst in Taipei for sales training / strategy session CW16,,VCA.1342G,Hotel Taiwan for Sales Training & Strategy session April 15th-18th
,Vendor,2025/4/12,2025/5/23,2025/6/23,OBA-0000026,,,32200-10,32200-10,85.04,R-USD,VCA.1342G,10126,,è]ã∆àıóßë÷ OBA-0000026 Johan Veenstra  Overseas Travel (Other Travel Costs),,Parking at DFW airport whilst in Taipei for sales training / strategy session CW16,,VCA.1342G,Hotel Taiwan for Sales Training & Strategy session April 15th-18th
,G/L Account,2025/4/19,2025/5/23,2025/6/23,OBA-0000026,72600-10,72600-10,,,945.65,R-USD,VCA.1342G,10126,,è]ã∆àıóßë÷ OBA-0000026 Johan Veenstra  Overseas Travel (Hotel Accommodation),,"-USD 945.65
-Hotel stay sales training & strategy session CW16",,VCA.1342G,Hotel Taiwan for Sales Training & Strategy session April 15th-18th
,Vendor,2025/4/19,2025/5/23,2025/6/23,OBA-0000026,,,32200-10,32200-10,945.65,R-USD,VCA.1342G,10126,,è]ã∆àıóßë÷ OBA-0000026 Johan Veenstra  Overseas Travel (Hotel Accommodation),,"-USD 945.65
-Hotel stay sales training & strategy session CW16",,VCA.1342G,Hotel Taiwan for Sales Training & Strategy session April 15th-18th
,G/L Account,2025/4/23,2025/6/9,2025/6/23,VPA-0000189,75512-10,,,,205,R-USD,VCA.1342G,10091,,VPA-0000189   Marketing Expense - Event - Trade shows/Road show,,MEMA Purchasing supplier summit with Automotive OEM,20250423,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/4/23,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,205,R-USD,VCA.1342G,10091,,VPA-0000189   Marketing Expense - Event - Trade shows/Road show,,MEMA Purchasing supplier summit with Automotive OEM,20250423,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/4/26,2025/4/28,2025/6/23,VPA-0000131,72600-10,72600-30,,,161.99,R-USD,VCA.1342G,10126,,"VPA-0000131   Domestic Travel - Local Airfare, Train, High Speed Rail",,Spirit Airlines Flight DFW to DTW May 20th to attend ESCAR USA Confernece (May20th-22nd),20240426,VCA.1342G,"Flights to DTW/Home to attend ESCAR USA May 20th-22nd (CW21) 
There: Spirit Airlines DFW to DTW May 20th 
Return: Delta Airlines DTW to JAX May 22nd"
,Vendor,2025/4/26,2025/4/28,2025/6/23,VPA-0000131,,,32200-10,32200-10,161.99,R-USD,VCA.1342G,10126,,"VPA-0000131   Domestic Travel - Local Airfare, Train, High Speed Rail",,Spirit Airlines Flight DFW to DTW May 20th to attend ESCAR USA Confernece (May20th-22nd),20240426,VCA.1342G,"Flights to DTW/Home to attend ESCAR USA May 20th-22nd (CW21) 
There: Spirit Airlines DFW to DTW May 20th 
Return: Delta Airlines DTW to JAX May 22nd"
,G/L Account,2025/4/26,2025/4/28,2025/6/23,VPA-0000131,72600-10,72600-30,,,348.49,R-USD,VCA.1342G,10126,,"VPA-0000131   Domestic Travel - Local Airfare, Train, High Speed Rail",,"Return flight Delta Airlines DTW -> JAX (Attending ESCAR USA Conference May 20th-22nd in Detroit Area)
- 348.49 USD",20250426,VCA.1342G,"Flights to DTW/Home to attend ESCAR USA May 20th-22nd (CW21) 
There: Spirit Airlines DFW to DTW May 20th 
Return: Delta Airlines DTW to JAX May 22nd"
,Vendor,2025/4/26,2025/4/28,2025/6/23,VPA-0000131,,,32200-10,32200-10,348.49,R-USD,VCA.1342G,10126,,"VPA-0000131   Domestic Travel - Local Airfare, Train, High Speed Rail",,"Return flight Delta Airlines DTW -> JAX (Attending ESCAR USA Conference May 20th-22nd in Detroit Area)
- 348.49 USD",20250426,VCA.1342G,"Flights to DTW/Home to attend ESCAR USA May 20th-22nd (CW21) 
There: Spirit Airlines DFW to DTW May 20th 
Return: Delta Airlines DTW to JAX May 22nd"
,G/L Account,2025/4/28,2025/5/23,2025/6/23,OBA-0000031,72600-10,72600-10,,,688.5,R-USD,VCA.1342G,10126,,è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Overseas Travel (Airfare),,"JETBLUE Flight to Europe for Power2Drive Munich and AUTO ISAC Gothenburg Conference
- Power2drive May 6&7
- AUTO ISAC conference 7&8",,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,Vendor,2025/4/28,2025/5/23,2025/6/23,OBA-0000031,,,32200-10,32200-10,688.5,R-USD,VCA.1342G,10126,,è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Overseas Travel (Airfare),,"JETBLUE Flight to Europe for Power2Drive Munich and AUTO ISAC Gothenburg Conference
- Power2drive May 6&7
- AUTO ISAC conference 7&8",,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,G/L Account,2025/4/28,2025/5/23,2025/6/23,OBA-0000031,72600-10,72600-10,,,1127.39,R-USD,VCA.1342G,10126,,è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Overseas Travel (Airfare),,FINN AIR Return flight Stockholm-Dallas Fort Worth Airport,,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,Vendor,2025/4/28,2025/5/23,2025/6/23,OBA-0000031,,,32200-10,32200-10,1127.39,R-USD,VCA.1342G,10126,,è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Overseas Travel (Airfare),,FINN AIR Return flight Stockholm-Dallas Fort Worth Airport,,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,G/L Account,2025/4/29,2025/6/9,2025/6/23,VPA-0000189,73300-40,,,,13.99,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Coffee with Daren Shelcusky,20250508,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/4/29,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,13.99,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Coffee with Daren Shelcusky,20250508,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/4/30,2025/6/14,2025/6/23,APA-0000531,74120-10,,,,2000,R-USD,VCA.1751G,10119,V-US00004,"APA-0000531 UHY ADVISORS, INC. Audit, Tax, Accounting Service",,"2024 Form 1120-F tax compliance, done and submitted on 04.15",640510070,VCA.1751G,"2024 Form 1120-F tax compliance, done and submitted on 04.15"
,Vendor,2025/4/30,2025/6/14,2025/6/23,APA-0000531,,,31200-10,31200-10,2000,R-USD,VCA.1751G,10119,V-US00004,"APA-0000531 UHY ADVISORS, INC. Audit, Tax, Accounting Service",,"2024 Form 1120-F tax compliance, done and submitted on 04.15",640510070,VCA.1751G,"2024 Form 1120-F tax compliance, done and submitted on 04.15"
,G/L Account,2025/5/2,2025/6/9,2025/6/23,VPA-0000189,73300-40,,,,126,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,"Lunch with Bill Mazzara Stellantis, Darren Shelcusky Ford, Ty Benson ZF",20250502,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/2,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,126,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,"Lunch with Bill Mazzara Stellantis, Darren Shelcusky Ford, Ty Benson ZF",20250502,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/2,2025/6/9,2025/6/23,VPA-0000189,72700-10,,,,135.92,R-USD,VCA.1342G,10091,,"VPA-0000189   Telephone, Mobile Phone Call",,Mobile Phone,20250502,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/2,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,135.92,R-USD,VCA.1342G,10091,,"VPA-0000189   Telephone, Mobile Phone Call",,Mobile Phone,20250502,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/3,2025/6/9,2025/6/23,VPA-0000189,74700-10,,,,66.95,R-USD,VCA.1342G,10091,,VPA-0000189   Office Rental,,Bamboo Shared Office,20250503,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/3,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,66.95,R-USD,VCA.1342G,10091,,VPA-0000189   Office Rental,,Bamboo Shared Office,20250503,VCA.1342G,Sales Expenses for April 23 to May 30th
